Rank,ID,Title,R1_Name,R1_Decision,R1_Score,R2_Name,R2_Decision,R2_Score,Total_Score,Status,Accepted,Conflict,PDF_Link
131,"P078","CEO Narcissism and Strategic Risk-Taking - Sample 78","Sina Sokhan","Maybe No",2,"FJ Morales","Maybe No",2,4,Complete,,,""
132,"P080","Institutional Voids and Multinational Strategy - Sample 80","Metin Sengul","Maybe No",2,"Xiaoli Tang","Maybe No",2,4,Complete,,,""
133,"P085","Dynamic Capabilities in Digital Platform Ecosystems - Sample 85","Ashton Lewis Hawk","Maybe Yes",3,"Mingtao Xu","No",1,4,Complete,,,""
134,"P088","Knowledge Transfer in Cross-Border Acquisitions - Sample 88","Sina Sokhan","Maybe Yes",3,"Metin Sengul","No",1,4,Complete,,,""
135,"P091","Open Innovation and Appropriability Regimes - Sample 91","MJ Yang","Maybe Yes",3,"Kenneth Huang","No",1,4,Complete,,,""
136,"P092","Institutional Voids and Multinational Strategy - Sample 92","Janet Lee Elsie Bercovitz","Maybe No",2,"Danielle Bovenberg","Maybe No",2,4,Complete,,,""
137,"P104","Institutional Voids and Multinational Strategy - Sample 104","MJ Yang","Maybe Yes",3,"Wesley W. Koo","No",1,4,Complete,,,""
138,"P109","Dynamic Capabilities in Digital Platform Ecosystems - Sample 109","Wesley W. Koo","Maybe Yes",3,"Andy Wu","No",1,4,Complete,,,""
139,"P110","Alliance Portfolio Diversity and Innovation Performance - Sample 110","Janet Lee Elsie Bercovitz","No",1,"Danielle Bovenberg","Maybe Yes",3,4,Complete,,,""
140,"P114","CEO Narcissism and Strategic Risk-Taking - Sample 114","Danielle Bovenberg","Maybe Yes",3,"Ashton Lewis Hawk","No",1,4,Complete,,,""
141,"P120","Stakeholder Orientation and Long-Term Value Creation - Sample 120","Anparasan Mahalingam","No",1,"Metin Sengul","Maybe Yes",3,4,Complete,,,""
142,"P134","Alliance Portfolio Diversity and Innovation Performance - Sample 134","Catherine Magelssen","Maybe No",2,"Xiaoli Tang","Maybe No",2,4,Complete,,,""
143,"P140","Institutional Voids and Multinational Strategy - Sample 140","Aldona Kapacinskaite","No",1,"Xiaoli Tang","Maybe Yes",3,4,Complete,,,""
144,"P145","Dynamic Capabilities in Digital Platform Ecosystems - Sample 145","Aldona Kapacinskaite","Maybe No",2,"Catherine Magelssen","Maybe No",2,4,Complete,,,""
145,"P146","Alliance Portfolio Diversity and Innovation Performance - Sample 146","Catherine Magelssen","Maybe No",2,"Xiaoli Tang","Maybe No",2,4,Complete,,,""
146,"P149","Competitive Dynamics in Sharing Economy Markets - Sample 149","FJ Morales","Maybe Yes",3,"Andy Wu","No",1,4,Complete,,,""
147,"P150","CEO Narcissism and Strategic Risk-Taking - Sample 150","Janet Lee Elsie Bercovitz","Maybe Yes",3,"FJ Morales","No",1,4,Complete,,,""
148,"P151","Open Innovation and Appropriability Regimes - Sample 151","Janet Lee Elsie Bercovitz","No",1,"Kenneth Huang","Maybe Yes",3,4,Complete,,,""
149,"P159","Corporate Political Activity in Emerging Markets - Sample 159","Danielle Bovenberg","Maybe Yes",3,"Mingtao Xu","No",1,4,Complete,,,""
150,"P162","CEO Narcissism and Strategic Risk-Taking - Sample 162","Anparasan Mahalingam","Maybe Yes",3,"FJ Morales","No",1,4,Complete,,,""
151,"P164","Institutional Voids and Multinational Strategy - Sample 164","Wesley W. Koo","Maybe No",2,"Xiaoli Tang","Maybe No",2,4,Complete,,,""
152,"P169","Dynamic Capabilities in Digital Platform Ecosystems - Sample 169","Janet Lee Elsie Bercovitz","Maybe No",2,"Mingtao Xu","Maybe No",2,4,Complete,,,""
153,"P175","Open Innovation and Appropriability Regimes - Sample 175","Janet Lee Elsie Bercovitz","No",1,"Danielle Bovenberg","Maybe Yes",3,4,Complete,,,""
154,"P178","Strategic Human Capital and Competitive Advantage - Sample 178","Aldona Kapacinskaite","No",1,"Metin Sengul","Maybe Yes",3,4,Complete,,,""
155,"P179","Digital Transformation and Organizational Ambidexterity - Sample 179","MJ Yang","Maybe Yes",3,"Kenneth Huang","No",1,4,Complete,,,""
156,"P181","Dynamic Capabilities in Digital Platform Ecosystems - Sample 181","Kenneth Huang","No",1,"Wesley W. Koo","Maybe Yes",3,4,Complete,,,""
157,"P191","Digital Transformation and Organizational Ambidexterity - Sample 191","Catherine Magelssen","Maybe No",2,"Mingtao Xu","Maybe No",2,4,Complete,,,""
158,"P194","Alliance Portfolio Diversity and Innovation Performance - Sample 194","Janet Lee Elsie Bercovitz","Maybe Yes",3,"Mingtao Xu","No",1,4,Complete,,,""
159,"P199","Open Innovation and Appropriability Regimes - Sample 199","Janet Lee Elsie Bercovitz","No",1,"Aldona Kapacinskaite","Maybe Yes",3,4,Complete,,,""
160,"P046","Strategic Human Capital and Competitive Advantage - Sample 46","Sina Sokhan","No",1,"Aldona Kapacinskaite","Maybe No",2,3,Complete,,,""
161,"P051","Corporate Political Activity in Emerging Markets - Sample 51","Xiaoli Tang","No",1,"Tony Tong","Maybe No",2,3,Complete,,,""
162,"P065","Competitive Dynamics in Sharing Economy Markets - Sample 65","Kenneth Huang","No",1,"Xiaoli Tang","Maybe No",2,3,Complete,,,""
163,"P071","Digital Transformation and Organizational Ambidexterity - Sample 71","Anparasan Mahalingam","Maybe No",2,"Metin Sengul","No",1,3,Complete,,,""
164,"P072","Stakeholder Orientation and Long-Term Value Creation - Sample 72","Danielle Bovenberg","No",1,"Metin Sengul","Maybe No",2,3,Complete,,,""
165,"P073","Dynamic Capabilities in Digital Platform Ecosystems - Sample 73","Kenneth Huang","Maybe No",2,"Tony Tong","No",1,3,Complete,,,""
166,"P076","Knowledge Transfer in Cross-Border Acquisitions - Sample 76","Anparasan Mahalingam","Maybe No",2,"FJ Morales","No",1,3,Complete,,,""
167,"P081","Platform Governance and Ecosystem Health - Sample 81","Aldona Kapacinskaite","Maybe No",2,"Xiaoli Tang","No",1,3,Complete,,,""
168,"P093","Platform Governance and Ecosystem Health - Sample 93","Janet Lee Elsie Bercovitz","Maybe No",2,"Metin Sengul","No",1,3,Complete,,,""
169,"P101","Competitive Dynamics in Sharing Economy Markets - Sample 101","Metin Sengul","No",1,"Mingtao Xu","Maybe No",2,3,Complete,,,""
170,"P111","Corporate Political Activity in Emerging Markets - Sample 111","Aldona Kapacinskaite","Maybe No",2,"Wesley W. Koo","No",1,3,Complete,,,""
171,"P127","Open Innovation and Appropriability Regimes - Sample 127","Aldona Kapacinskaite","Maybe No",2,"Metin Sengul","No",1,3,Complete,,,""
172,"P135","Corporate Political Activity in Emerging Markets - Sample 135","Janet Lee Elsie Bercovitz","Maybe No",2,"Catherine Magelssen","No",1,3,Complete,,,""
173,"P139","Open Innovation and Appropriability Regimes - Sample 139","Janet Lee Elsie Bercovitz","No",1,"Anparasan Mahalingam","Maybe No",2,3,Complete,,,""
174,"P143","Digital Transformation and Organizational Ambidexterity - Sample 143","Ashton Lewis Hawk","No",1,"Wesley W. Koo","Maybe No",2,3,Complete,,,""
175,"P163","Open Innovation and Appropriability Regimes - Sample 163","Janet Lee Elsie Bercovitz","No",1,"Catherine Magelssen","Maybe No",2,3,Complete,,,""
176,"P167","Digital Transformation and Organizational Ambidexterity - Sample 167","Metin Sengul","Maybe No",2,"Mingtao Xu","No",1,3,Complete,,,""
177,"P173","Competitive Dynamics in Sharing Economy Markets - Sample 173","Ashton Lewis Hawk","Maybe No",2,"Sina Sokhan","No",1,3,Complete,,,""
178,"P176","Institutional Voids and Multinational Strategy - Sample 176","Janet Lee Elsie Bercovitz","No",1,"Metin Sengul","Maybe No",2,3,Complete,,,""
179,"P177","Platform Governance and Ecosystem Health - Sample 177","Kenneth Huang","No",1,"Tony Tong","Maybe No",2,3,Complete,,,""
180,"P183","Corporate Political Activity in Emerging Markets - Sample 183","Sina Sokhan","No",1,"Xiaoli Tang","Maybe No",2,3,Complete,,,""
181,"P192","Stakeholder Orientation and Long-Term Value Creation - Sample 192","Danielle Bovenberg","Maybe No",2,"Mingtao Xu","No",1,3,Complete,,,""
182,"P193","Dynamic Capabilities in Digital Platform Ecosystems - Sample 193","Janet Lee Elsie Bercovitz","Maybe No",2,"MJ Yang","No",1,3,Complete,,,""
183,"P197","Competitive Dynamics in Sharing Economy Markets - Sample 197","Kenneth Huang","Maybe No",2,"Catherine Magelssen","No",1,3,Complete,,,""
184,"P001","The Nature and Experience of Entrepreneurial Passion","MJ Yang","No",1,"Kenneth Huang","No",1,2,Complete,,,"https://www.dropbox.com/scl/fi/d9pjl8jumquynf7yasdoy/17-Cardon-et-al.-2009.pdf?rlkey=vmfy65gwr7xjjzbcfm0ip4vpw&dl=0"
185,"P022","Mobility, Skills, and the Michigan Non-Compete Experiment","Mukund Chari","No",1,"Ashton Lewis Hawk","No",1,2,Complete,,,"https://www.dropbox.com/scl/fi/e3ptxkpxr9kiavdo2ic1z/Marx-M.-Strumsky-D.-Fleming-L.-2009-.-Mobility-skills-and-the-Michigan-non-compete-experiment..pdf?rlkey=7xc1nvbjks3ri0r3dxpfmsjq5&dl=0"
186,"P031","Open Innovation and Appropriability Regimes - Sample 31","Janet Lee Elsie Bercovitz","No",1,"Aldona Kapacinskaite","No",1,2,Complete,,,""
187,"P034","Strategic Human Capital and Competitive Advantage - Sample 34","Ashton Lewis Hawk","No",1,"Anparasan Mahalingam","No",1,2,Complete,,,""
188,"P047","Digital Transformation and Organizational Ambidexterity - Sample 47","MJ Yang","No",1,"Wesley W. Koo","No",1,2,Complete,,,""
189,"P082","Strategic Human Capital and Competitive Advantage - Sample 82","Janet Lee Elsie Bercovitz","No",1,"Danielle Bovenberg","No",1,2,Complete,,,""
190,"P086","Alliance Portfolio Diversity and Innovation Performance - Sample 86","Aldona Kapacinskaite","No",1,"Metin Sengul","No",1,2,Complete,,,""
191,"P105","Platform Governance and Ecosystem Health - Sample 105","MJ Yang","No",1,"Kenneth Huang","No",1,2,Complete,,,""
192,"P112","Knowledge Transfer in Cross-Border Acquisitions - Sample 112","MJ Yang","No",1,"Kenneth Huang","No",1,2,Complete,,,""
193,"P116","Institutional Voids and Multinational Strategy - Sample 116","Janet Lee Elsie Bercovitz","No",1,"Ashton Lewis Hawk","No",1,2,Complete,,,""
194,"P118","Strategic Human Capital and Competitive Advantage - Sample 118","Ashton Lewis Hawk","No",1,"Kenneth Huang","No",1,2,Complete,,,""
195,"P122","Alliance Portfolio Diversity and Innovation Performance - Sample 122","Xiaoli Tang","No",1,"Mingtao Xu","No",1,2,Complete,,,""
196,"P123","Corporate Political Activity in Emerging Markets - Sample 123","Mukund Chari","No",1,"Metin Sengul","No",1,2,Complete,,,""
197,"P144","Stakeholder Orientation and Long-Term Value Creation - Sample 144","Kenneth Huang","No",1,"Catherine Magelssen","No",1,2,Complete,,,""
198,"P154","Strategic Human Capital and Competitive Advantage - Sample 154","Anparasan Mahalingam","No",1,"Andy Wu","No",1,2,Complete,,,""
199,"P182","Alliance Portfolio Diversity and Innovation Performance - Sample 182","Aldona Kapacinskaite","No",1,"Anparasan Mahalingam","No",1,2,Complete,,,""
200,"P186","CEO Narcissism and Strategic Risk-Taking - Sample 186","Danielle Bovenberg","No",1,"Ashton Lewis Hawk","No",1,2,Complete,,,""


--- ACCEPTED PAPERS ONLY ---
Rank,ID,Title,R1_Name,R1_Decision,R2_Name,R2_Decision,Total_Score,PDF_Link
1,"P053","Competitive Dynamics in Sharing Economy Markets - Sample 53","Janet Lee Elsie Bercovitz","Yes","FJ Morales","Yes",8,""
2,"P089","Competitive Dynamics in Sharing Economy Markets - Sample 89","Janet Lee Elsie Bercovitz","Yes","MJ Yang","Yes",8,""
3,"P129","Platform Governance and Ecosystem Health - Sample 129","Xiaoli Tang","Yes","Andy Wu","Yes",8,""
4,"P198","CEO Narcissism and Strategic Risk-Taking - Sample 198","Wesley W. Koo","Yes","Andy Wu","Yes",8,""
5,"P002","How Do Feelings Influence Effort? an Empirical Study of Entrepreneurs' Affect and Venture Effort","FJ Morales","Maybe Yes","Andy Wu","Yes",7,"https://www.dropbox.com/scl/fi/but49tn6167vy45i2wpzu/18-Foo-et-al.-2009.pdf?rlkey=tppopr7uzreasfvl6yrr0vqys&dl=0"
6,"P010","The Art of Continuous Change: Linking Complexity Theory and Time-Paced Evolution in Relentlessly Shifting Organizations","Sina Sokhan","Maybe Yes","Catherine Magelssen","Yes",7,"https://www.dropbox.com/scl/fi/6ial4nb1z1vn3u2xshgct/Brown-S.-L.-Eisenhardt-K.-M.-1997-.-The-art-of-continuous-change-Linking-complexity-theory-and-time-paced-evolution-in-relentlessly-shifting-organizations.pdf?rlkey=zssxdszxu9q36i9gx85tscy4p&dl=0"
7,"P011","Can You Gig It? an Empirical Examination of the Gig Economy and Entrepreneurial Activity","Sina Sokhan","Yes","Mingtao Xu","Maybe Yes",7,"https://www.dropbox.com/scl/fi/fwhxmwqkcxqwz0zt7xl5f/Burtch-G.-Carnahan-S.-Greenwood-B.-N.-2018-.-Can-you-gig-it-An-empirical-examination-of-the-gig-economy-and-entrepreneurial-activity.pdf?rlkey=8bo94mbfry9kaurxpw8vilswa&dl=0"
8,"P013","A Scientific Approach to Entrepreneurial Decision Making","Catherine Magelssen","Maybe Yes","Anparasan Mahalingam","Yes",7,"https://www.dropbox.com/scl/fi/rdpkrx8f0zwzk09eobcgu/Camuffo-Cordova-Gambardella-Spina-MS-2020-A-scientific-approach-to-entrepreneurial-decision-making-Evidence-from-a-randomized-control-trial.pdf?rlkey=r3wu8qegxi9za4buhilsxr0rz&dl=0"
9,"P020","Structural Inertia and Organizational Change","Janet Lee Elsie Bercovitz","Maybe Yes","Aldona Kapacinskaite","Yes",7,"https://www.dropbox.com/scl/fi/2x7quxbet5f48b00ynkn6/Hannan-Freeman-1984-Structural-Inertia-and-Organizational-Change.pdf?rlkey=1af68x8cdpunyw4x5l59kf7c3&dl=0"
10,"P028","Knowledge Transfer in Cross-Border Acquisitions - Sample 28","Mukund Chari","Maybe Yes","Metin Sengul","Yes",7,""
11,"P029","Competitive Dynamics in Sharing Economy Markets - Sample 29","Sina Sokhan","Maybe Yes","Andy Wu","Yes",7,""
12,"P040","Knowledge Transfer in Cross-Border Acquisitions - Sample 40","Wesley W. Koo","Maybe Yes","Catherine Magelssen","Yes",7,""
13,"P044","Institutional Voids and Multinational Strategy - Sample 44","Aldona Kapacinskaite","Maybe Yes","Wesley W. Koo","Yes",7,""
14,"P048","Stakeholder Orientation and Long-Term Value Creation - Sample 48","Janet Lee Elsie Bercovitz","Yes","FJ Morales","Maybe Yes",7,""
15,"P061","Dynamic Capabilities in Digital Platform Ecosystems - Sample 61","Janet Lee Elsie Bercovitz","Maybe Yes","Wesley W. Koo","Yes",7,""
16,"P069","Platform Governance and Ecosystem Health - Sample 69","Ashton Lewis Hawk","Maybe Yes","Anparasan Mahalingam","Yes",7,""
17,"P087","Corporate Political Activity in Emerging Markets - Sample 87","Kenneth Huang","Maybe Yes","Catherine Magelssen","Yes",7,""
18,"P098","Alliance Portfolio Diversity and Innovation Performance - Sample 98","Xiaoli Tang","Maybe Yes","Tony Tong","Yes",7,""
19,"P107","Digital Transformation and Organizational Ambidexterity - Sample 107","Aldona Kapacinskaite","Yes","Xiaoli Tang","Maybe Yes",7,""
20,"P115","Open Innovation and Appropriability Regimes - Sample 115","Andy Wu","Yes","Mingtao Xu","Maybe Yes",7,""
21,"P130","Strategic Human Capital and Competitive Advantage - Sample 130","Aldona Kapacinskaite","Yes","Catherine Magelssen","Maybe Yes",7,""
22,"P138","CEO Narcissism and Strategic Risk-Taking - Sample 138","FJ Morales","Yes","Mingtao Xu","Maybe Yes",7,""
23,"P147","Corporate Political Activity in Emerging Markets - Sample 147","Danielle Bovenberg","Yes","Aldona Kapacinskaite","Maybe Yes",7,""
24,"P148","Knowledge Transfer in Cross-Border Acquisitions - Sample 148","Mukund Chari","Maybe Yes","Sina Sokhan","Yes",7,""
25,"P155","Digital Transformation and Organizational Ambidexterity - Sample 155","Mukund Chari","Yes","Anparasan Mahalingam","Maybe Yes",7,""
26,"P156","Stakeholder Orientation and Long-Term Value Creation - Sample 156","Catherine Magelssen","Yes","Mingtao Xu","Maybe Yes",7,""
27,"P158","Alliance Portfolio Diversity and Innovation Performance - Sample 158","Sina Sokhan","Yes","FJ Morales","Maybe Yes",7,""
28,"P160","Knowledge Transfer in Cross-Border Acquisitions - Sample 160","Aldona Kapacinskaite","Maybe Yes","Wesley W. Koo","Yes",7,""
29,"P166","Strategic Human Capital and Competitive Advantage - Sample 166","Kenneth Huang","Yes","Aldona Kapacinskaite","Maybe Yes",7,""
30,"P171","Corporate Political Activity in Emerging Markets - Sample 171","Danielle Bovenberg","Yes","Catherine Magelssen","Maybe Yes",7,""
31,"P174","CEO Narcissism and Strategic Risk-Taking - Sample 174","MJ Yang","Maybe Yes","Xiaoli Tang","Yes",7,""
32,"P195","Corporate Political Activity in Emerging Markets - Sample 195","Janet Lee Elsie Bercovitz","Yes","FJ Morales","Maybe Yes",7,""
33,"P008","Does Going Public Affect Innovation?","Janet Lee Elsie Bercovitz","Maybe No","Kenneth Huang","Yes",6,"https://www.dropbox.com/scl/fi/bhx4epittwb6k59yg71pp/Bernstein-S.-2015-.-Does-going-public-affect-innovation.pdf?rlkey=98b7z5tasek5zkm272lxukag3&dl=0"
34,"P015","What Is a Patent Worth? Evidence From the U.S. Patent “Lottery”","Ashton Lewis Hawk","Maybe Yes","Tony Tong","Maybe Yes",6,"https://www.dropbox.com/scl/fi/wlm5fh8cqho5i8j87f974/Farre-Mensa-J.-Hegde-D.-Ljungqvist-A.-2020-.-What-is-a-patent-worth-Evidence-from-the-US-patent-lottery.pdf?rlkey=bkn2z35c2xwxw4k2kwwqr5l4e&dl=0"
35,"P018","A Scientific Method for Startups","FJ Morales","Yes","Mingtao Xu","Maybe No",6,"https://www.dropbox.com/scl/fi/p6k9zbkioj7adkih6wpeu/Felin-Gambardella-Novelli-Zenger-JOM-2024-A-scientific-method-for-startups.pdf?rlkey=f1h38jcb3ux0ha2jfllmwqm9p&dl=0"
36,"P033","Platform Governance and Ecosystem Health - Sample 33","Sina Sokhan","Maybe No","Catherine Magelssen","Yes",6,""
37,"P035","Digital Transformation and Organizational Ambidexterity - Sample 35","Anparasan Mahalingam","Maybe No","Andy Wu","Yes",6,""
38,"P036","Stakeholder Orientation and Long-Term Value Creation - Sample 36","Mukund Chari","Yes","Xiaoli Tang","Maybe No",6,""
39,"P037","Dynamic Capabilities in Digital Platform Ecosystems - Sample 37","FJ Morales","Maybe Yes","Mingtao Xu","Maybe Yes",6,""
40,"P057","Platform Governance and Ecosystem Health - Sample 57","Mukund Chari","Maybe No","Catherine Magelssen","Yes",6,""
41,"P058","Strategic Human Capital and Competitive Advantage - Sample 58","Wesley W. Koo","Yes","Metin Sengul","Maybe No",6,""
42,"P060","Stakeholder Orientation and Long-Term Value Creation - Sample 60","Danielle Bovenberg","Maybe No","Catherine Magelssen","Yes",6,""
43,"P067","Open Innovation and Appropriability Regimes - Sample 67","Janet Lee Elsie Bercovitz","Maybe Yes","Mingtao Xu","Maybe Yes",6,""
44,"P068","Institutional Voids and Multinational Strategy - Sample 68","Mukund Chari","Maybe No","Metin Sengul","Yes",6,""
45,"P070","Strategic Human Capital and Competitive Advantage - Sample 70","Ashton Lewis Hawk","Yes","Tony Tong","Maybe No",6,""
46,"P074","Alliance Portfolio Diversity and Innovation Performance - Sample 74","Sina Sokhan","Maybe No","Mingtao Xu","Yes",6,""
47,"P079","Open Innovation and Appropriability Regimes - Sample 79","MJ Yang","Maybe Yes","Anparasan Mahalingam","Maybe Yes",6,""
48,"P084","Stakeholder Orientation and Long-Term Value Creation - Sample 84","Anparasan Mahalingam","Maybe Yes","Xiaoli Tang","Maybe Yes",6,""
49,"P090","CEO Narcissism and Strategic Risk-Taking - Sample 90","Metin Sengul","Yes","Mingtao Xu","Maybe No",6,""
50,"P096","Stakeholder Orientation and Long-Term Value Creation - Sample 96","Janet Lee Elsie Bercovitz","Yes","Sina Sokhan","Maybe No",6,""
51,"P097","Dynamic Capabilities in Digital Platform Ecosystems - Sample 97","Janet Lee Elsie Bercovitz","Yes","FJ Morales","Maybe No",6,""
52,"P102","CEO Narcissism and Strategic Risk-Taking - Sample 102","MJ Yang","Maybe No","FJ Morales","Yes",6,""
53,"P103","Open Innovation and Appropriability Regimes - Sample 103","Danielle Bovenberg","Maybe Yes","Catherine Magelssen","Maybe Yes",6,""
54,"P117","Platform Governance and Ecosystem Health - Sample 117","Aldona Kapacinskaite","Maybe Yes","Wesley W. Koo","Maybe Yes",6,""
55,"P124","Knowledge Transfer in Cross-Border Acquisitions - Sample 124","Janet Lee Elsie Bercovitz","Yes","MJ Yang","Maybe No",6,""
56,"P125","Competitive Dynamics in Sharing Economy Markets - Sample 125","Mukund Chari","Maybe No","Aldona Kapacinskaite","Yes",6,""
57,"P126","CEO Narcissism and Strategic Risk-Taking - Sample 126","Danielle Bovenberg","Yes","Catherine Magelssen","Maybe No",6,""
58,"P128","Institutional Voids and Multinational Strategy - Sample 128","Ashton Lewis Hawk","Maybe Yes","Sina Sokhan","Maybe Yes",6,""
59,"P132","Stakeholder Orientation and Long-Term Value Creation - Sample 132","Anparasan Mahalingam","Yes","FJ Morales","Maybe No",6,""
60,"P136","Knowledge Transfer in Cross-Border Acquisitions - Sample 136","Mukund Chari","Maybe No","Wesley W. Koo","Yes",6,""
61,"P152","Institutional Voids and Multinational Strategy - Sample 152","FJ Morales","Yes","Tony Tong","Maybe No",6,""
62,"P157","Dynamic Capabilities in Digital Platform Ecosystems - Sample 157","Ashton Lewis Hawk","Maybe No","Aldona Kapacinskaite","Yes",6,""
63,"P161","Competitive Dynamics in Sharing Economy Markets - Sample 161","Aldona Kapacinskaite","Yes","Metin Sengul","Maybe No",6,""
64,"P165","Platform Governance and Ecosystem Health - Sample 165","Sina Sokhan","Maybe Yes","Catherine Magelssen","Maybe Yes",6,""
65,"P168","Stakeholder Orientation and Long-Term Value Creation - Sample 168","Danielle Bovenberg","Maybe No","Mukund Chari","Yes",6,""
66,"P172","Knowledge Transfer in Cross-Border Acquisitions - Sample 172","Mukund Chari","Yes","Ashton Lewis Hawk","Maybe No",6,""
67,"P180","Stakeholder Orientation and Long-Term Value Creation - Sample 180","Aldona Kapacinskaite","Yes","Catherine Magelssen","Maybe No",6,""
68,"P185","Competitive Dynamics in Sharing Economy Markets - Sample 185","Catherine Magelssen","Maybe Yes","Anparasan Mahalingam","Maybe Yes",6,""
69,"P004","Survival of the Fittest? Entrepreneurial Human Capital and the Persistence of Underperforming Firms","Janet Lee Elsie Bercovitz","Maybe No","Kenneth Huang","Maybe Yes",5,"https://www.dropbox.com/scl/fi/bgc4g5rhi7tnqsvu17vrm/20-Gimeno-et-al.-1997.pdf?rlkey=dges3uvdjojwkdoqu6k8xjpgx&dl=0"
70,"P005","Venturing for Others with Heart and Head: How Compassion Encourages Social Entrepreneurship","Aldona Kapacinskaite","No","Andy Wu","Yes",5,"https://www.dropbox.com/scl/fi/nlxfuqnhoul4ariqc0t1j/21-Miller-et-al.-2012.pdf?rlkey=7v5np70c91qocj1zonwhuwq4i&dl=0"
71,"P012","Who Leaves, Where To, and Why Worry? Employee Mobility, Entrepreneurship, and Effects on Source Firm Performance","MJ Yang","Maybe No","FJ Morales","Maybe Yes",5,"https://www.dropbox.com/scl/fi/s6q6m7g7ezwoj45yrb2zk/Campbell-B.-A.-Ganco-M.-Franco-A.-M.-Agarwal-R.-2012-.-Who-leaves-where-to-and-why-worry-Employee-mobility-entrepreneurship-and-effects-on-source-firm-performance.pdf?rlkey=d3v14kx431ho7o0zf5iw2i8b4&dl=0"
72,"P016","The Theory-Based View: Economic Actors as Theorists","Metin Sengul","No","Xiaoli Tang","Yes",5,"https://www.dropbox.com/scl/fi/1hnzjtsaztrojrxu8pu1n/Felin-Zenger-SS-2017-The-theory-based-view-Economic-actors-as-theorists.pdf?rlkey=cxohb5xnidp60p29d5yj1jo5i&dl=0"
73,"P017","Theory-Based Decisions: Foundations and Introduction","MJ Yang","Maybe No","Xiaoli Tang","Maybe Yes",5,"https://www.dropbox.com/scl/fi/dy7yavrem5bldcpy4mhoj/Felin-Gambardella-Zenger-SS-2024-Theory-based-decisions-Foundations-and-introduction.pdf?rlkey=1k8ge9b4p82zb09j5bwpkbabm&dl=0"
74,"P019","The Financing of Innovation","Mukund Chari","No","Xiaoli Tang","Yes",5,"https://www.dropbox.com/scl/fi/i517xjz5ld0nafhfnn6yb/Hall-B.-H.-2005-.-The-financing-of-innovation.-The-Handbook-of-Technology-and-Innovation-Management-409-430..pdf?rlkey=iaevtcgv3enr7hen1b6o2wdlf&dl=0"
75,"P021","Core Capabilities and Core Rigidities: a Paradox in Managing New Product Development","Ashton Lewis Hawk","Maybe Yes","Sina Sokhan","Maybe No",5,"https://www.dropbox.com/scl/fi/87hfel4b4luhfval0637l/Leonard-Barton-1992-Core-capabilities-and-core-rigidities-A-paradox-in-managing-new-product-development.pdf?rlkey=udfcrwh9ylzegoxlp7pib4fjk&dl=0"
76,"P023","Firm Boundaries Matter: Evidence From Conglomerates and R&D Activity","Ashton Lewis Hawk","Maybe No","Sina Sokhan","Maybe Yes",5,"https://www.dropbox.com/scl/fi/180naw38omi5xv68tytab/Seru-A.-2014-.-Firm-boundaries-matter-Evidence-from-conglomerates-and-R-D-activity..pdf?rlkey=fer2v21dcf0sb9smtq1h9e5jf&dl=0"
77,"P024","Prior Knowledge and the Discovery of Entrepreneurial Opportunities","Ashton Lewis Hawk","Maybe Yes","FJ Morales","Maybe No",5,"https://www.dropbox.com/scl/fi/ngsr9kx6zukxhex76cc8j/Shane-S.-2000-.-Prior-knowledge-and-the-discovery-of-entrepreneurial-opportunities.pdf?rlkey=hz7fw1adlq7778iqeg6wbucdt&dl=0"
78,"P026","Entrepreneurs as Scientists: a Pragmatist Alternative to the Creation-Discovery Debate","Anparasan Mahalingam","Yes","Metin Sengul","No",5,"https://www.dropbox.com/scl/fi/jg6mnzidsdolw260vlsrl/Zellweger-Zenger-AMR-2022-Entrepreneurs-as-scientists-A-pragmatist-alternative-to-the-creation-discovery-debate.pdf?rlkey=lx3pnp96lzojomq36odg4bpft&dl=0"
79,"P030","CEO Narcissism and Strategic Risk-Taking - Sample 30","MJ Yang","Maybe No","Kenneth Huang","Maybe Yes",5,""
80,"P039","Corporate Political Activity in Emerging Markets - Sample 39","MJ Yang","Yes","Xiaoli Tang","No",5,""
